time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
10,7307,335.891747639,6342.01808786,387,0.722953283736,389,0.719301845311,381,0.666032115478,344,0.661219240729,0.566297634364,19740.091556
20,35544,712.358175782,63939.5429293,396,0.352994008122,389,0.35291230378,407,0.333628904427,360,0.338782791819,0.324096330566,20966.5093124
30,8781,330.73886801,7188.65841584,404,0.740539797015,408,0.745863433984,428,0.670996371685,390,0.681007627006,0.564834930111,17336.561895
40,8998,297.678928651,6287.59389671,426,0.744543525884,427,0.751027659211,474,0.680470340644,437,0.68005465116,0.614705825875,17042.4888864
50,10449,343.805244521,8848.32758621,406,0.702675696879,400,0.705830345309,425,0.656688852216,381,0.65489442938,0.559367131178,17919.9018088
60,7642,267.13635174,5275.08010336,387,0.73729321505,391,0.739793688554,380,0.68307930668,353,0.685707489136,0.519599925152,17204.680581
70,8460,316.971513002,6737.63567839,398,0.727138135135,407,0.730269000497,438,0.679555348948,397,0.672128465572,0.533175241721,17654.4398345
80,7780,322.290616967,6191.16296296,405,0.724783212551,397,0.726057377902,415,0.672556169974,358,0.674124434237,0.557400444053,17866.8573265
90,7823,346.70829605,7252.13636364,374,0.721629552113,370,0.725014792305,388,0.670252596166,334,0.678587894371,0.556452009495,18401.6222677
100,7093,337.042718173,6392.09625668,374,0.724022363222,382,0.726356373808,359,0.666265245349,318,0.675001515753,0.528896828952,17018.5530805
110,6270,287.560606061,5036.32681564,358,0.727159142491,361,0.730975234719,353,0.670980716019,309,0.673378334202,0.502889164405,17558.2869219
120,6242,303.769785325,5496.03188406,345,0.73668149564,348,0.736218501714,341,0.675145030192,293,0.690912546188,0.51183296907,17022.6867991
130,9390,380.960170394,9539.24266667,375,0.691327286439,379,0.695394186128,408,0.649992428088,354,0.684804959989,0.531970747521,15546.0054313
140,7571,311.168537842,6056.18766067,389,0.729712095714,381,0.734051262193,401,0.675566167562,352,0.679995532424,0.516846091839,19268.8051777
150,8147,328.422855039,7059.79155673,379,0.713839052064,385,0.712004972861,379,0.660646124025,334,0.668921918476,0.535711355475,16754.5424082
160,7848,385.302752294,7713.91836735,392,0.693495824614,396,0.699800954411,384,0.660304283637,343,0.664757460327,0.563694769541,17569.5146534
170,8264,375.093659245,8009.75193798,387,0.7249085725,390,0.721520182344,392,0.662837758125,344,0.672313266384,0.54051761515,17851.3469264
180,8844,386.878787879,8596.87437186,398,0.722136629466,402,0.729017289162,398,0.662049124558,363,0.660701607841,0.538960821419,17693.1105834
190,7863,312.746152868,6178.70100503,398,0.727687686474,399,0.730468519994,408,0.667606081464,360,0.670198909192,0.531286549499,17952.6651405
200,7147,299.248915629,5293.89108911,404,0.737745697573,408,0.736626217017,417,0.678393183674,362,0.680820971211,0.54536366621,19115.3593116
210,7294,310.523992322,6291.56111111,360,0.741666312867,360,0.742186965383,365,0.681843646536,333,0.686869134197,0.527713367647,17915.1513573
220,7904,365.638790486,7686.19414894,376,0.72775203848,370,0.732350738534,388,0.675471945959,343,0.683461322053,0.547281332812,18360.9810223
230,8077,321.989971524,6991.16397849,372,0.74682671028,373,0.751277150916,403,0.675117268193,374,0.67791334613,0.560184697523,18340.4946143
240,7443,295.636974338,5995.71117166,367,0.721254293273,372,0.729181181817,354,0.665416077387,323,0.670638749648,0.492172583553,17909.3122397
250,6741,288.51698561,4862.2325,400,0.728626434129,404,0.728843313666,401,0.664773139708,333,0.668128969438,0.548166413258,18269.7503338
260,5661,231.961490903,3455.61578947,380,0.71673973263,374,0.716618078682,368,0.669358477999,308,0.66567682574,0.525816908407,18237.5868221
270,1246,236.245585875,1517.32989691,194,0.751675144586,198,0.766348402218,183,0.691985936695,180,0.721037669296,0.484581501195,19043.8113965
