time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
10,6635,439.724169461,9307.96774194,331,0.774015720704,332,0.767090706599,287,0.735150059046,267,0.742951137408,0.537968869981,16944.4227257
20,11965,757.516791516,28754.1757188,333,0.593142870059,327,0.588695288783,314,0.611021309572,277,0.614593593495,0.512080064895,13346.0237525
30,12499,829.233397652,33378.6569579,324,0.522941199543,320,0.518602774473,304,0.503090551361,255,0.509985206093,0.488613396762,11647.5100938
40,10398,735.009400136,23926.0630915,332,0.603226907378,336,0.596713109427,296,0.577457974206,273,0.581909126202,0.521556780703,12782.3214397
50,6619,409.566233766,8619.32797428,327,0.76265674754,336,0.748821583446,312,0.714836562246,271,0.718448470793,0.593761551289,17255.2059269
60,7510,463.090088877,10055.2836257,360,0.764096970623,363,0.755729255623,337,0.699280254347,298,0.712284625756,0.646225067944,17276.3126379
70,7724,444.885520125,9671.20454545,370,0.762522217957,480,0.739060717074,484,0.692954231165,336,0.714174412829,0.646324258393,15736.6284036
80,7739,521.569863014,11261.5014085,371,0.723267637637,370,0.720691350358,361,0.710518363392,313,0.712861431158,0.596546353343,15620.6403857
90,10618,665.422525856,20268.4624277,359,0.652802370333,357,0.650258170777,358,0.619764009432,319,0.627876737975,0.574513960829,13666.2762125
100,8080,532.186650031,12472.1520468,358,0.71992426919,500,0.699652910105,480,0.69520424342,318,0.704875004744,0.650351531767,14556.6238632
110,9627,554.52811224,14470.7595628,384,0.719065152813,382,0.715612576164,389,0.710502988464,357,0.712305308566,0.594183271486,15979.3584757
120,9828,597.92718894,18535.7428571,329,0.705316243414,333,0.698729403964,348,0.699192631985,316,0.713262236031,0.523985592823,14724.144303
130,10167,623.723421105,18369.8367347,359,0.691619593379,440,0.670074716527,408,0.641215232889,317,0.663984783296,0.585122604543,13889.1071692
140,12073,589.48140737,19916.1690141,369,0.697103383236,554,0.666113583599,561,0.651045191564,367,0.68391367648,0.618103582928,14417.7202313
150,11917,668.114155636,24013.6424242,344,0.66761525535,367,0.655407934129,365,0.62310189551,324,0.639914599787,0.546560692159,13848.6130684
160,9474,519.956208249,14996.0458716,338,0.711520187247,423,0.696135296189,396,0.684213976671,293,0.714480374287,0.571560419752,14793.2420563
170,11612,634.885427484,20267.2265193,376,0.654058801563,496,0.628143905829,480,0.608574756058,342,0.637947314831,0.569153941192,13395.5762231
180,10709,650.010063011,21464.4627329,336,0.653893034458,333,0.64994008527,357,0.656542390276,315,0.676268876487,0.55348499957,14664.1662516
190,12196,670.366847826,23528.7138728,360,0.625019019489,358,0.625258423139,366,0.651170995993,328,0.67464318193,0.550296380257,14057.9858984
200,12245,634.479035037,22092.56,367,0.607404350272,463,0.592675374453,455,0.608362064911,291,0.662566141155,0.532585288085,14051.790399
210,13449,656.22972872,25305.5043228,360,0.605743739855,365,0.605743958759,355,0.629272648148,320,0.664832685026,0.514898589271,14915.2234234
220,11733,684.190235546,23356.494152,358,0.606682680491,357,0.603573676379,339,0.617158330235,299,0.63903029207,0.521245047786,13565.9133333
230,12355,622.342610677,22295.4693878,358,0.635823432844,420,0.616388542028,438,0.596580661143,331,0.640326248975,0.564682188385,14920.102328
240,11362,557.494647439,18643.0828402,352,0.646602196084,454,0.613951479476,434,0.587213830056,304,0.650043182496,0.57487248547,15798.8757579
250,13617,631.528109783,23909.8659218,374,0.625908466833,415,0.613185014405,402,0.608187948813,332,0.63397169733,0.546063630889,15394.9145431
260,15082,687.230892144,31566.3853211,344,0.579220269129,475,0.557367333517,451,0.563396973814,304,0.606967144939,0.533453367212,14627.5459018
270,5836,816.083649534,20307.5236052,247,0.559811295719,280,0.547091901827,253,0.520359188076,204,0.562656249658,0.50197062779,13266.0727468
