time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
10,47825,991.356056264,177730.940711,253,0.982954035637,252,0.0900953793927,10000,0.997577319499,10001,0.997571792063,0.159350062686,11721.7226277
20,94724,993.536173207,362758.513834,253,0.99502535984,252,0.0466246920726,10000,0.998557403974,10001,0.998558152277,0,13080.0
30,95654,993.580610325,367287.086957,253,0.995946889928,252,0.0423461662983,10000,0.998666807509,10001,0.998662157224,0,12982.0408163
40,95641,992.807207744,368472.743083,253,0.997125277908,252,0.035504827768,10000,0.99911506288,10001,0.999123522642,0,12504.4897959
50,78704,992.502417531,301822.731225,253,0.995693343332,252,0.0427373399349,10000,0.999141176216,10001,0.999146260632,0,13136.25
60,113,58.3362831858,3296.0,2,0.998587236493,2,0.998587236493,2,0.998587236493,2,0.998587236493,0,13207.4336283
70,10,60.8,304.0,2,1.0,2,1.0,2,1.0,2,1.0,0,13380.0
