time,total_pkt,avg_pkt_size,avg_size_ip,total_src_ip,entropy_src_ip,total_dst_ip,entropy_dst_ip,total_src_prt,entropy_src_prt,total_dst_prt,entropy_dst_prt,entropy_tcp_flag,avg_window_size
360,18893,984.472555973,73226.9291339,254,0.997736918779,2,0.0623381415492,16280,0.990183303854,16153,0.989700638615,0,13542.5
370,18837,985.311886181,73072.1259843,254,0.997810464116,2,0.0598462510625,16218,0.990291239341,16146,0.990110877431,0,13591.1913357
380,18991,984.912010953,73639.6220472,254,0.997734896426,2,0.0613226893293,16219,0.989977579254,16240,0.989974365665,0,13557.8947368
390,18826,985.406140444,73036.4409449,254,0.997802495785,2,0.0602552034513,16134,0.990233244313,16092,0.990137463606,0,13563.032491
400,18865,984.785369732,73141.6377953,254,0.997761599978,2,0.0609083404732,16133,0.989982227388,16245,0.990240889624,0,13599.7183099
410,18883,985.382831118,73255.8425197,254,0.997841534874,2,0.0601039136456,16108,0.990203425321,16205,0.990352037809,0,13536.0
420,10585,963.089938592,40135.0669291,254,0.990624074101,2,0.131402976894,9433,0.982801277855,9397,0.98216924257,0.174371452922,12185.9514563
430,811,70.4340320592,28561.0,2,0.998498044584,2,0.998498044584,9,0.80831517848,9,0.765147327136,0.0738753903889,12767.1418002
440,200,66.96,6696.0,2,0.998195879043,2,0.998195879043,9,0.807523667332,9,0.760695124865,0,13575.0
450,1,0.0,0.0,1,0,1,0,1,0,1,0,0,1460.0
